iter	TotalF1	MultiClass
0	0.4825811066	1.779308836
1	0.4845353617	1.661443852
2	0.4893714053	1.574554463
3	0.4990545441	1.503173901
4	0.5068370551	1.44580951
5	0.5068493895	1.398626738
6	0.5022408495	1.361333345
7	0.5027154115	1.329908454
8	0.5028221674	1.304991071
9	0.5037469202	1.279875344
10	0.5042852309	1.259757577
11	0.5023189596	1.240713469
12	0.5028990258	1.225123866
13	0.5085975937	1.21009598
14	0.5086553872	1.198651085
15	0.5106833348	1.187838542
16	0.5113144595	1.178271962
17	0.5126138689	1.169844125
18	0.5138366727	1.162044333
19	0.5144343051	1.154159138
20	0.5157585245	1.146770638
21	0.5164963929	1.140464655
22	0.5170312199	1.1358962
23	0.5171668099	1.131788708
24	0.5175314725	1.127384991
25	0.5181804138	1.123713889
26	0.5187632416	1.120237137
27	0.5205466782	1.115893683
28	0.5216143031	1.112273214
29	0.5221944881	1.108963488
30	0.5227842864	1.106389067
31	0.5227344017	1.104051252
32	0.523407554	1.101817104
33	0.5240871786	1.099822683
34	0.5241149858	1.098295869
35	0.5251101314	1.096418749
36	0.5253547664	1.094814547
37	0.5251826681	1.093557257
38	0.5251374675	1.092373865
39	0.5257479832	1.090914254
40	0.5262565559	1.089332232
41	0.5270248528	1.087555895
42	0.5278610614	1.085984351
43	0.5282199619	1.084805904
44	0.5288394412	1.083549387
45	0.5288954196	1.082464192
46	0.5290735799	1.081736582
47	0.5302319263	1.080662752
48	0.5305062304	1.079772878
49	0.5312641822	1.078550111
50	0.5316457833	1.077445511
51	0.5333965749	1.07627468
52	0.5336521632	1.075929233
53	0.5342371197	1.074785505
54	0.5346208499	1.073970354
55	0.5348470403	1.07333691
56	0.5356189574	1.072288285
57	0.5355971316	1.07178554
58	0.535746716	1.071219866
59	0.5368299098	1.070493564
60	0.5374011044	1.06989173
61	0.5376913367	1.069350313
62	0.5378575507	1.068934941
63	0.538276942	1.068499098
64	0.5384257327	1.068192601
65	0.5383512148	1.068102846
66	0.5382854985	1.067651419
67	0.5381172296	1.067229749
68	0.5381548232	1.0668444
69	0.538722558	1.066580286
70	0.5388119407	1.065918354
71	0.5391123731	1.065529576
72	0.5391233064	1.06524741
73	0.5393982353	1.06494866
74	0.5400439473	1.064042352
75	0.540297891	1.063585977
76	0.5405185839	1.063337719
77	0.5409911527	1.0626658
78	0.5411448642	1.062309341
79	0.5412923015	1.062062161
80	0.541427877	1.061349359
81	0.5417380562	1.060817125
82	0.5418739815	1.060470878
83	0.5419775821	1.060417729
84	0.5420856364	1.060166003
85	0.5423007722	1.059881061
86	0.5426658587	1.058997952
87	0.5430554048	1.058738073
88	0.5432357629	1.058502221
89	0.543209859	1.057892549
90	0.5433491598	1.057558116
91	0.5434548389	1.057348538
92	0.543745511	1.057096222
93	0.5439026655	1.056920022
94	0.5444794654	1.056262194
95	0.5446242139	1.056042802
96	0.5449066451	1.055811105
97	0.5449753813	1.055554213
98	0.5449361645	1.055213854
99	0.5450059322	1.054753589
100	0.5451318968	1.054635958
101	0.5452040807	1.054331975
102	0.5456344118	1.053882294
103	0.545727386	1.053777568
104	0.5459121558	1.05356063
105	0.5459543691	1.053266646
106	0.5461251071	1.053143588
107	0.5462395162	1.052443222
108	0.5464426475	1.052077896
109	0.5468706504	1.051436248
110	0.5470585116	1.051031175
111	0.5471061648	1.050962555
112	0.547539567	1.050512171
113	0.5478918483	1.050002119
114	0.547941791	1.049511051
115	0.5482420986	1.049181008
116	0.5489023375	1.048692419
117	0.5490171072	1.048301713
118	0.549357811	1.047992952
119	0.5496543661	1.047390014
120	0.5497625262	1.046882655
121	0.5500943498	1.046391428
122	0.550187331	1.046072611
123	0.5503281831	1.045827677
124	0.5503956886	1.045568223
125	0.5508003392	1.045006264
126	0.5508161421	1.044608404
127	0.5508534195	1.044253233
128	0.5508884853	1.044023474
129	0.5510212011	1.043375243
130	0.5511727873	1.043042662
131	0.5514922361	1.042618571
132	0.5514264004	1.042281491
133	0.5514937081	1.041726296
134	0.5516560695	1.041208456
135	0.5516848984	1.041003438
136	0.5518482202	1.040697588
137	0.5521579787	1.04026222
138	0.5522814142	1.040000791
139	0.5522234572	1.039658462
140	0.5526620712	1.039351122
141	0.5527447804	1.038839572
142	0.5526346221	1.038512559
143	0.5531337721	1.038163066
144	0.553249886	1.037950215
145	0.5535191186	1.037690345
146	0.5538442085	1.037366827
147	0.5540955004	1.036893012
148	0.5538830818	1.036592579
149	0.553965018	1.036060569
150	0.5538978409	1.03591685
151	0.5538577273	1.035740553
152	0.553931993	1.035418117
153	0.5540237741	1.035235156
154	0.5542008012	1.034934297
155	0.5541514267	1.034619986
156	0.5541269297	1.034376111
157	0.5543811699	1.034044946
158	0.5548162107	1.033770073
159	0.5547843223	1.033449569
160	0.5550103608	1.033309688
161	0.5554393981	1.033049309
162	0.5556580102	1.032669157
163	0.5557567668	1.032478683
164	0.5559696539	1.03232042
165	0.5560187979	1.032072324
166	0.5560916953	1.031717585
167	0.5563035949	1.031461852
168	0.5563302206	1.031320971
169	0.5565840619	1.031057575
170	0.556709122	1.030829997
171	0.556891475	1.030605173
172	0.5569499679	1.030332848
173	0.5566897082	1.029968734
174	0.5568965585	1.029566603
175	0.5571335255	1.029129846
176	0.5572045314	1.02889165
177	0.5571640964	1.028672949
178	0.5575230626	1.028344837
179	0.5577747238	1.027909753
180	0.5577922634	1.027778654
181	0.5579469364	1.027337103
182	0.5581451231	1.027101374
183	0.5582349817	1.026904507
184	0.558321089	1.02665421
185	0.558390969	1.026320243
186	0.5585873079	1.026121915
187	0.5588205603	1.025988468
188	0.5586842836	1.025807026
189	0.558759837	1.025658636
190	0.5591860093	1.02529619
191	0.5592166582	1.025116596
192	0.5593211811	1.024940833
193	0.5593508319	1.024663317
194	0.5594909494	1.024618446
195	0.5596657295	1.024338604
196	0.5598309003	1.024059099
197	0.560073921	1.023794914
198	0.5603522232	1.023507724
199	0.5604069096	1.023419284
200	0.560635686	1.023088441
201	0.5606927917	1.02297756
202	0.5605902404	1.022814685
203	0.5606699808	1.022665009
204	0.5608354824	1.022422268
205	0.5609469052	1.021958429
206	0.5611063948	1.021581044
207	0.5611555733	1.021298407
208	0.5613674371	1.021037419
209	0.5614728443	1.020899086
210	0.5616594154	1.020618286
211	0.5617843974	1.020520836
212	0.5621133598	1.020324743
213	0.5619507708	1.020093287
214	0.5620356465	1.019865418
215	0.5621947422	1.019359199
216	0.5623788318	1.019263925
217	0.5625688568	1.019135615
218	0.5625927719	1.01889215
219	0.562655323	1.018599348
220	0.5626625547	1.018423697
221	0.5626467737	1.018250329
222	0.5625672675	1.018133592
223	0.5628387524	1.017872123
224	0.5630903216	1.017685378
225	0.5632072932	1.017511821
