iter	Passed	Remaining
0	300	149804
1	529	131751
2	754	125020
3	995	123432
4	1220	120790
5	1447	119194
6	1696	119508
7	1936	119088
8	2097	114429
9	2380	116622
10	2585	114931
11	2839	115473
12	3049	114240
13	3290	114223
14	3528	114095
15	3782	114414
16	4074	115763
17	4370	117036
18	4601	116482
19	4864	116740
20	5064	115522
21	5318	115549
22	5570	115522
23	5811	115271
24	6073	115399
25	6279	114474
26	6513	114113
27	6770	114136
28	6999	113673
29	7259	113729
30	7490	113323
31	7715	112846
32	7946	112455
33	8181	112131
34	8412	111763
35	8658	111603
36	8904	111425
37	9171	111509
38	9440	111595
39	9692	111459
40	9932	111193
41	10205	111292
42	10491	111501
43	10731	111214
44	10983	111052
45	11260	111136
46	11535	111182
47	11804	111154
48	12054	110954
49	12342	111078
50	12623	111132
51	12861	110806
52	13073	110257
53	13331	110106
54	13593	109980
55	13846	109785
56	14093	109537
57	14342	109301
58	14608	109188
59	14870	109047
60	15116	108788
61	15372	108602
62	15651	108564
63	15878	108169
64	16090	107683
65	16209	106589
66	16481	106514
67	16685	106001
68	16938	105807
69	17210	105723
70	17459	105495
71	17725	105370
72	17978	105161
73	18230	104948
74	18465	104638
75	18706	104364
76	18911	103889
77	19139	103550
78	19371	103232
79	19575	102769
80	19857	102718
81	20104	102483
82	20348	102233
83	20535	101698
84	20783	101472
85	21035	101265
86	21296	101097
87	21541	100855
88	21806	100701
89	22066	100523
90	22301	100232
91	22524	99890
92	22778	99688
93	23013	99399
94	23254	99138
95	23510	98940
96	23742	98641
97	24027	98563
98	24317	98500
99	24610	98440
100	24891	98332
101	25132	98066
102	25405	97920
103	25657	97696
104	25901	97440
105	26170	97275
106	26450	97151
107	26747	97083
108	27023	96937
109	27299	96788
110	27613	96772
111	27907	96680
112	28210	96613
113	28471	96402
114	28735	96201
115	29000	96003
116	29272	95824
117	29586	95779
118	29829	95505
119	30084	95266
120	30399	95217
121	30664	95010
122	30904	94724
123	31153	94465
124	31426	94280
125	31664	93987
126	31917	93741
127	32190	93554
128	32440	93297
129	32693	93049
130	32959	92839
131	33242	92676
132	33501	92444
133	33772	92244
134	34027	92000
135	34307	91823
136	34607	91697
137	34881	91499
138	35169	91338
139	35432	91111
140	35723	90956
141	35965	90674
142	36245	90487
143	36524	90295
144	36811	90124
145	37074	89892
146	37349	89690
147	37612	89457
148	37886	89249
149	38162	89045
150	38426	88814
151	38709	88623
152	38960	88360
153	39249	88184
154	39537	88002
155	39791	87745
156	40069	87540
157	40331	87300
158	40614	87104
159	40875	86860
160	41161	86669
161	41429	86438
162	41707	86229
163	41970	85988
164	42243	85767
165	42510	85532
166	42757	85258
167	43004	84985
168	43261	84731
169	43556	84551
170	43820	84309
171	44092	84083
172	44351	83832
